Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
D1,LED_D5.0mm_Clear,1,LED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J2, J4, J8",JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,4,Conn_01x05,
"J10, J7",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,Conn_01x03,
"J11, J3, J9",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,3,Conn_01x04,
"J12, J13",PinSocket_1x04_P2.54mm_Vertical,2,Conn_01x04,
J14,PinSocket_1x10_P2.54mm_Vertical,1,Conn_01x10,
"J15, J16",PinSocket_1x02_P2.54mm_Vertical,2,Conn_01x02,
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J6,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06,
"R1, R2, R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,10k,
"SW1, SW2, SW3, SW4",SW_PUSH_6mm,4,SW_Push,
SW5,PinSocket_1x03_P2.54mm_Vertical,1,SW_Push_SPDT,
"U1, U2",ESP32-DevKitC,2,ESP32-DevKitC,
